discord_name,user_name,rating
SU1CIDAL,SU1CIDAL,"Серебро 4"
"Тётя Шиза",Венлафаксин,"Серебро 2"
'',ColetteYi,"Платина 1"
netnom,ValmarxTobias,"Платина 2"
" ",Stick2g,"Серебро 2"
"RiadX(The End)",NotNewX,"Платина 1"
Percival(Андрей),"Percival play","Платина 4"
"Ненaвижу людей",МurМur,"Платина 4"
DragonDolbik,"Dragon of Shadow","Платина 2"
ThrallSoD,"INNI Mage","Платина 3"
EOSAriz,KeNaNFoR,"Платина 1"
toshaebosha,qwentxxx,"Золото 3"
"BanKuYi ded","BanKuYi ded","Алмаз 2"
Well,Well,"Платина 3"
YonneOneLove,YonneOneLove,"Платина 1"
FarseerKarma,Trinityfley,"Платина 1"
"cadet1 ru","cadet1 ru","Алмаз 1"
"INNI Blade",IWantMyBlade,Мастер+
"w8 im fcking bad","w8 im fcking bad","Платина 4"
m_noize,"INNI Lacerta","Золото 1"
reptiloid,Bemonsak,"Серебро 4"
" ",Arhifant,"Платина 2"
Sterben9,sSkEeMm,"Алмаз 2"
" ","lane diff xd","Золото 3"
Balvd,"Василь соляра","Золото 1"
KaiSas,KaiSas,"Платина 1"
ufys,ufys,"Платина 3"
"Ахмад Гази","Ахмад Гази ","Платина 4"
Shtarmagedon,Shtarmagedon,"Серебро 1"
Haul,"Hentai Shaco","Платина 1"
Серж,subliritum,"Бронза 3"
Don_Koval,DonKoval,"Платина 4"
Лаймик,Liminality,Мастер+
" ","Принцесса Франца","Алмаз 4"
" ","ALT F4 PIG","Серебро 2"
"Я Календарь",супертащер228,"Платина 1"
" ","sasat bush","Серебро 4"
Жижа,K1ndred,"Платина 3"
"черный пояс по куни","меня бьет папа","Серебро 4"
Jugashka,"Jugashka btw","Платина 4"
" ","MonsTer WaifU","Платина 1"
" ","ени крута",Мастер+
rebenok,YATAGARASUXD,"Алмаз 3"
" ",6ix9ineKizaru,"Алмаз 4"
D?,Rafinaks,"Золото 4"
Doctro,AtsumuMiya,"Алмаз 3"
Rakka,"jg diff","Алмаз 3"
TILTDA,"Илюха Протобелт","Платина 1"
"Jar Jar Binks",ЕvilFох,"Платина 3"
D.D.,danru,"Золото 2"
"одинокая вайфу...","ZXC X ZЕD","Золото 4"
Unlucka,Idkie,"Серебро 2"
DeathMamay,DeathMamay,"Золото 3"
Batrosha,Vatroosha,"Платина 4"
ПЇЪРО́Ф,PIYROF,"Золото 3"
" ","Wolf Frakken","Золото 4"
Ignat,"Choc0 PIe","Платина 4"
Sobaka(musor1dz3),musor1dz3,"Платина 4"
" ",tutupapatutu,"Платина 3"
LAIMPOP,LAIMPOP,"Серебро 4"
Dii,Dii,"Алмаз 1"
"Кусочек Пиццы","Spase For U","Платина 4"
NAriKanO,NAriKanO,"Платина 4"
Effex0,Effex0,"Серебро 4"
Yogan,OWRLx12,"Серебро 2"
autistiolip,МамеПриветУе60к,"Серебро 3"
BŁÌTIIIZø,n9wlord,Мастер+
Deimos,"TSR Deimos","Золото 2"
FlameNitor,FlameNitor,"Серебро 4"
Axeya,"GEO Im Leo","Алмаз 4"
MavicKe1,MavicKe1,"Золото 2"
Rebgenloth,XZePokin,Мастер+
Jalader,Jalader,"Бронза 4"
Medved0510,Medved0510,"Платина 3"
NeoFox,NeoFox,Мастер+
Zeru,Zeru,"Платина 4"
Yann,Kisaragii,"Алмаз 4"
Pisces,Mehira,"Платина 3"
Toki,pizsda,"Серебро 3"
TWINkie43,"RETURN ТО MONKE","Алмаз 1"
MIDIDIDIDIDTKA,MIDIDIDIDIDIDKA,"Платина 4"
Dealife,Dealife,"Золото 2"
XNar0X,YoriichiHashira,"Золото 3"
" ",k3trin,"Платина 3"
" ","Твоя Пошласть","Бронза 1"
badanuk,Bakron,"Серебро 2"
MOODSsasori,nvermore,"Золото 4"
FoggyFroggy,DollyNyan,"Бронза 2"
" ",polhengt,"Золото 4"
"Parl1k( Димас)",MeaT1989,"Бронза 4"
"ДИТЯ ВЕТРОВ","ДИТЯ ВЕТРОВ","Золото 1"
ledocainedd,ledocainedd,"Золото 3"
Skeler,"Eto malooyybtw","Платина 4"
drebzilla,"игнат семёнов","Алмаз 1"
Venom,IWeAreVenomI,"Платина 4"
" ",Polhen,"Золото 3"
" ","morceau ","Золото 4"
"Just Madness Geza",Geza,"Платина 2"
mexanic21,Аларик,"Золото 2"
"DED Insane","DED Insane","Платина 1"
"depressed kid L9","depressed king","Алмаз 1"
Milkka,Milka02,"Золото 1"
" ",павтьдолавть,"Золото 4"
VeoRomi,VeoRomi,"Платина 4"
Dnz,Nae6kaDl9Uebka,"Серебро 1"
"Точно не Шрек","Точно не Шрек","Платина 1"
𝓨𝓾𝓷𝓪,3efir,"Алмаз 4"
"Биба плыл по морю...",Retrypal,"Платина 1"
ЛичСладкоежка,ПадшийЛич,"Золото 4"
"전체 제로","Fu11 Zеr0","Золото 4"
" ",snowman99,"Железо 1"
𝒯𝑜𝓍𝒾𝒸𝒟𝑅𝒜𝒱𝐸𝒩,"ToxicDRAVEN ","Платина 3"
" ",NickyyTSK,"Бронза 3"
" ",KоgMeоw,"Золото 3"
lekkek,lekkek,"Серебро 1"
"Tiranda Kin","Tiranda Kin ","Серебро 1"
Intel13,Intel13,Мастер+
"TSR Dumbеst","TSR Dumbеst","Серебро 2"
"Rin Itoshi","L9 No meaning","Платина 4"
"KryghowniK Tárrø","KryghowniK Tárrø","Бронза 1"
Daralont,Daralont,"Золото 4"
alcreamie,Celandien,"Платина 1"
TiF0Rm,nosleepneediT,"Серебро 4"
"Murk Wolf","Murk Wolf","Платина 4"
"Киллер Кринж","Оливка Сайкса","Золото 3"
Tfas,Fushi,"Алмаз 1"
SKiner,SKiner1525,"Серебро 3"
Galabibop,"CPS Galabalab","Платина 4"
"LOUD LORD",perevertina,"Платина 2"
"babulehs fart","babulehs fart","Алмаз 1"
" ","Crimson Ripper","Платина 1"
" ","Любитель турелик","Алмаз 2"
nevmute,"poso see","Серебро 1"
"sheesh adc","Demetra Berkut","Платина 4"
"НЕ НИКО / Даниил","НЕ НИКО","Золото 2"
Aleksаныч,myLEDYDEATHовца,"Платина 4"
proxy,qum3rry,"Бронза 1"
𝕸𝓲𝒌𝒌ẵ𝒎,0mikkam0,"Железо 2"
TeleK,TeleK228,"Алмаз 4"
"Emperor Firuz","Emperor Firuz","Золото 4"
Gafinhord,Gafinhord,"Золото 1"
"губка боб",NewRabbit,"Платина 4"
" ",Dreikerien,"Бронза 3"
"𝙽𝚎𝚘𝚗 𝚂𝚞𝚗𝚕𝚒𝚐𝚑𝚝",Kitsunamii,"Золото 1"
" ",L1rozet,"Серебро 1"
TechnoMouse,TechnoMouse,"Алмаз 3"
Maestro,Mae51r0,"Серебро 1"
"Милая Кицу","Милый кицу","Платина 3"
DDGOD,DDGOD09,"Золото 4"
" ","Unbroken Kaito",Мастер+
T_karter,"ADAM HA4EY","Серебро 4"
samyraii,ПапаСкрепыш,Мастер+
" ",DixenFive,"Золото 4"
rdw1,rdw1,"Серебро 3"
TecPan,TecPan,"Золото 3"
БогатаяЛеSбиянка,БогатаяЛеSбиянка,"Платина 4"
" ","vaness ","Золото 4"
" ",руля,"Золото 2"
Sir,Хинкаль,"Золото 4"
Bandiiit,Bandiiit,"Платина 4"
꧁❀MENTOL❀꧂,MENTØL,Мастер+
"TBlard ツ    ║PoppyMain}--",MyPoppy,"Золото 4"
Yadda,Yaddа,"Платина 4"
"Шланг Цунг",Ugandan,"Железо 1"
TerRUbt,TerRUbt,"Бронза 1"
" ",moonrxze,"Золото 2"
" ",Warleggen,"Алмаз 2"
" ",Kokushibo,"Серебро 3"
Dingo1519,Dingo1519,"Платина 4"
"wanna de chalandger",Mundotherapy,"Золото 1"
R4D1O,R4D1ON,"Платина 4"
"w8 ur fcking bad",CoinflipKatahri,"Алмаз 3"
" ",eatmean,"Платина 4"
mirari,"трусики cамиры","Железо 1"
dop,seevaligfor,"Золото 3"
ванюша,akiyama,"Железо 4"
realneilcicierega,"horny for kayn","Золото 4"
Zerma,Zerma,"Серебро 1"
" ",plaiyngwithdolls,"Серебро 2"
Flaivy,Flaivy,Мастер+
RashnLight,RashnLight,"Платина 4"
Argus878787,Argus878787,"Серебро 1"
MURA,BpaTuLLl,"Золото 2"
KAYOSHI,"KAYORI ONI","Золото 1"
"Артёмка не гей","Финн Пaрнишкa","Платина 3"
Fallen649,Fallen649,"Бронза 3"
TiranPupka,TiranPupka,"Золото 4"
XxDinos,XxDinos,"Платина 2"
w0nderfulman,w0nderfulman,"Серебро 3"
"abs0lute //",bLo0d,"Бронза 4"
Gientos,Fantom078,"Золото 4"
RobiNN,"Душное Чудовище","Золото 1"
Bloodluckcion,Bloodluckcion,"Платина 1"
Jostkiy(mx),ForenP,"Золото 2"
"лимонный швепс","лимонный швепс","Серебро 1"
тихоня,тихоня,"Платина 3"
Yato,"Negative IQ Yato","Золото 4"
"Demonadc L9",Demonadc,Мастер+
владимир,0kubel,"Серебро 3"
манекен,манекен,"Железо 1"
FLollipop,FLollipop,"Бронза 3"
"Макс Jagger","Jagger Swaggеr","Платина 2"
EliZion,VerbZ,"Платина 3"
Vovich,LuzhaZhizhi,"Золото 4"
Goat,kempachiikun,"Платина 4"
Pillom,PorosenokPeitr,"Серебро 4"
"Твой Папаша","Твой Папаша","Золото 2"
TheKillStealer,"НеХватка Нежити","Золото 4"
Nantomo,1Nantomo1,"Серебро 2"
"Hide in trench","Hide in trench","Алмаз 1"
" ",COBRА,"Платина 2"
"Джун младший",QuNL,"Золото 4"
magic_angell,bombomtic,"Серебро 1"
Kharn,DeusShenganian,"Золото 3"
" ",Enfunsion1,"Алмаз 1"
"10 арена клеш рояль","artfil wow","Серебро 4"
mk_sig,BellumDaemonium,"Платина 3"
" ","Тоскa ",Мастер+
"AdmiralIrya 鮫",Adnirallrya,"Золото 2"
MotherLolia,MotherLolia,"Серебро 4"
" ",COFAVO,"Бронза 4"
" ","BLIN OLEG","Золото 3"
"shimoriz abuser","shimoriz abuser","Платина 3"
"Anna Asakura","Anna Asakura","Серебро 1 "
"ХИХИХИ ХА",Blidun,"Бронза 4"
sdjk;),Delmarkker,Мастер+
343424424,"SCP 6101",Мастер+
TBND,TBND,"Платина 1"
Feabrise,Feabrise,"Золото 4"
OSKALIT,DIE4YOU,"Серебро 3"
Ирисыч,IrisPanda,"Серебро 4"
"Любаев Сергей","Любаев Сергей","Золото 2"
"Матвей Улитчев","Жак Фреско875","Серебро 1"
" ",MirBils,"Железо 1"
Сук,Сук,Мастер+
" ",КисуляКис,"Серебро 4"
PapaGodGamaer,PapaGodGamaer,"Серебро 4"
Тоха,"Coffee Toha","Золото 4"
Ishim,rittex,Мастер+
"! BorusoDie",BorusoDie,"Серебро 1"
" ","Пажилой жмыхъ","Золото 4"
" ",Morluck,Мастер+
elusive,"v1 Elusive","Платина 3"
"Krauser II","Krauser II","Серебро 4"
" ","moonrxze ","Платина 4"
"Неофит прайм","Неофит прайм","Золото 4"
" ",Shinproxy,"Алмаз 4"
"ONLYFANS girl",3efir,Мастер+
" ",Danichid,"Платина 1"
かいせん,666NeShaco666,"Золото 4"
"just a failure","LOSE TO GHOUL XD","Серебро 2"
"! Morinski",Morinski,"Бронза 1"
"ты в мyте чудище","ты в мyте чудище","Серебро 4"
"Карась Горбатый","карась горбатый","Золото 3"
Аматерасу,"Шако Король","Платина 4"
